1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Boussingault,127.61,-70.21,53.73,53.73,63.8,63805,109.74,92.56,71.25,0,,4.49,2.927,30.85,17424.91,1.63,26.91,,0,30.48,368.24,0,0,503.18,62.9,18.64,7.86,4.03,325.11,893.58,974.19,1360.43,153.6,120.86,329.96,195.46,235.56,305.87,181.06,,234.01,,12.13,9.26,20.46,21.47,5284.32,1790.8,4107.7,pre-Nectarian,1,,GHM 2,,,M1834,1935,,,,,,,,,,,,,,,,,,,,,,,,Boussingault
Boussingault A,75.4,-69.96,53.87,53.87,37.7,37700,64.84,59.18,43.57,41.37,,3.84,2.777,19.73,5167.79,1.32,17.33,,0,16.96,116.33,0.17,0.52,340.9,42.61,12.63,5.33,2.73,168.3,570.05,622.46,614.22,90.47,72.32,183.58,103.33,122.24,154.66,103.52,,150.46,,6.59,5.92,11.64,12.04,944.45,320.1,734.2,Nectarian,2,,GHM 2 PC,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault A
Boussingault B,57.72,-65.69,47.04,47.04,28.9,28860,49.64,47.16,33.94,29.63,,3.54,2.452,15.72,2787.67,1.19,13.86,,0,12.38,64.8,0.14,0.43,279.74,34.97,10.36,4.37,2.24,114.59,431.54,471.6,390.11,69.14,55.72,136.3,74.76,87.61,109.39,77.93,,120.23,,5.25,4.72,8.46,8.98,393.93,133.5,306.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault B
Boussingault C,23.13,-65.15,48.06,48.06,11.6,11565,19.89,21.68,14.44,9.46,,2.69,1.857,7.23,337.15,0.83,6.45,,0.29,3.42,8.75,0.08,0.24,142.19,17.77,5.27,2.22,1.14,21.93,118.74,130.12,58.86,27.56,22.82,49.2,24.69,28.02,33.44,29.5,,55.8,,0,2.17,0,3.29,19.76,6.7,15.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault C
Boussingault D,8.85,-63.58,44.81,44.81,4.4,4425,7.35,7.43,0,1.45,,1.77,1.469,2.48,27.73,0.33,2.33,,0,0,0,0.04,0.13,177,22.13,6.56,2.77,1.42,5.11,15.98,17.57,4.22,10.48,8.94,16.87,10.06,11.53,13.97,7.74,,24.91,,0,0.74,0,0.82,0.32,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault D
Boussingault E,104.09,-67.08,46.64,46.64,52,52045,89.52,77.84,58.89,61.89,,4.23,2.868,25.95,10884.08,1.51,22.69,,0,24.39,235.7,0,0,432.76,54.1,16.03,6.76,3.46,255.43,761.19,830.37,1013.7,125.13,99.07,262.95,152.71,182.72,234.9,145.82,,197.23,,8.67,7.78,16.57,17.16,2713.01,919.4,2108.9,pre-Nectarian,1,,GHM 2,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault E
Boussingault F,16.64,-68.97,39.65,39.65,8.3,8320,13.81,16.38,10.61,4.43,,2.43,2.662,5.46,0,0.62,4.41,,0,0,0,0.06,0.19,111.43,13.93,4.13,1.74,0.89,10.44,64.41,70.65,25.72,19.79,16.55,34.09,16.57,18.58,21.82,20.79,,42.32,,0,1.64,0,2.29,6.73,2.3,5.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault F
Boussingault G,4.59,-71.44,52.51,52.51,2.3,2295,3.81,3.86,0,0.46,,0.91,0.792,1.29,3.87,0.17,1.2,,0,0,0,0.03,0.08,91.8,11.48,3.4,1.43,0.73,0.6,2.88,3.17,0.49,5.42,4.71,8.11,4.32,4.81,5.57,3.41,,14.36,,0,0.39,0,0.35,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault G
Boussingault K,27.22,-68.83,50.1,50.1,13.6,13610,23.41,24.89,16.81,11.59,,2.82,1.951,8.3,491.1,0.88,7.39,,0.4,4.48,12.49,0.09,0.26,160.39,20.05,5.94,2.51,1.28,30.72,155.94,170.8,86.03,32.46,26.75,58.99,30.07,34.32,41.3,35.07,,63.97,,0,2.49,0,3.93,33.66,11.4,26.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault K
Boussingault N,15.1,-71.37,61.2,61.2,7.6,7550,12.53,15.08,9.69,3.73,,2.36,2.429,5.03,0,0.56,4,,0,0,0,0.06,0.18,103.71,12.96,3.84,1.62,0.83,8.26,52.95,58.1,19.84,17.94,15.05,30.59,14.73,16.46,19.24,18.75,,39.01,,0,1.51,0,2.06,4.89,1.7,3.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault N
Boussingault P,13.34,-67.29,45.59,45.59,6.7,6670,11.07,11.21,0,3,,2.68,2.162,3.74,0,0.5,3.53,,0,0,0,0.06,0.17,266.8,33.35,9.88,4.17,2.13,17.09,40.83,44.82,14.1,15.84,13.34,26.64,17.05,19.93,24.81,12.93,,35.16,,0,1.12,0,1.4,1.56,0.5,1.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault P
Boussingault R,11.92,-64.4,48.66,48.66,6,5960,9.89,10.01,0,2.46,,2.39,1.945,3.34,67.75,0.44,3.15,,0,0,0,0.05,0.15,238.4,29.8,8.83,3.73,1.91,12.41,31.94,35.07,10.24,14.14,11.95,23.5,14.75,17.15,21.19,11.23,,31.99,,0,1,0,1.21,1.01,0.3,0.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault R
Boussingault S,15.83,-64.14,46.91,46.91,7.9,7915,13.14,15.7,10.13,4.06,,2.4,2.539,5.23,0,0.59,4.19,,0,0,0,0.06,0.19,107.39,13.42,3.98,1.68,0.86,9.26,58.3,63.95,22.53,18.82,15.76,32.24,15.6,17.46,20.46,19.71,,40.59,,0,1.57,0,2.17,5.71,1.9,4.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault S
Boussingault T,19.43,-63.02,43.06,43.06,9.7,9715,16.71,18.69,12.27,5.83,,2.55,1.761,6.23,225.4,0.77,5.58,,0.21,2.46,5.97,0.07,0.21,124.98,15.62,4.63,1.95,1,14.95,86.77,95.14,38.36,23.12,19.25,40.51,19.99,22.55,26.68,24.51,,48.21,,0,1.87,0,2.71,11.17,3.8,8.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boussingault T
Bouvard B,24.74,-41.7,-79.85,280.15,12.4,12370,21.28,22.95,15.38,10.28,,2.74,1.895,7.65,393.85,0.85,6.83,,0.33,3.84,10.13,0.08,0.25,149.45,18.68,5.54,2.34,1.2,25.27,133.22,145.95,69.02,29.49,24.37,53.03,26.79,30.47,36.49,31.68,,59.04,,0,2.3,0,3.54,24.63,8.3,19.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard B
Bouvard C,14.63,-37.05,-77.48,282.52,7.3,7315,12.14,12.29,0,3.53,,2.95,2.358,4.1,0,0.55,3.87,,0,0,0,0.06,0.18,292.6,36.58,10.84,4.57,2.34,22.06,49.61,54.44,18.2,17.38,14.6,29.53,19.19,22.54,28.23,14.51,,37.99,,0,1.23,0,1.58,2.22,0.8,1.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard C
Bouvard D,27.46,-42.76,-80.66,279.34,13.7,13730,23.62,25.08,16.95,11.72,,2.83,1.956,8.36,501.16,0.89,7.45,,0.41,4.54,12.73,0.09,0.27,161.44,20.18,5.98,2.52,1.29,31.27,158.16,173.23,87.76,32.75,26.98,59.57,30.4,34.7,41.77,35.39,,64.45,,2.79,2.51,2.63,3.97,34.64,11.7,26.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard D
Bouvard E,12.82,-41.86,-77.56,282.44,6.4,6410,10.64,10.77,0,2.8,,2.58,2.082,3.59,84.28,0.48,3.39,,0,0,0,0.05,0.16,256.4,32.05,9.5,4.01,2.05,15.28,37.48,41.14,12.61,15.22,12.83,25.49,16.2,18.9,23.47,12.3,,34,,0,1.08,0,1.33,1.34,0.5,1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard E
Bouvard F,11.98,-42.44,-76.55,283.45,6,5990,9.94,10.06,0,2.48,,2.41,1.954,3.35,68.77,0.45,3.16,,0,0,0,0.05,0.15,239.6,29.95,8.87,3.74,1.92,12.6,32.3,35.46,10.39,14.22,12.01,23.64,14.84,17.27,21.34,11.3,,32.12,,0,1.01,0,1.22,1.03,0.3,0.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard F
Bouvard G,20.36,-42.03,-74.75,285.25,10.2,10180,17.51,19.45,12.82,8.06,,2.59,1.786,6.48,251.1,0.79,5.8,,0.23,2.7,6.61,0.07,0.22,129.38,16.17,4.79,2.02,1.04,16.61,94.6,103.71,43.13,24.24,20.15,42.68,21.16,23.9,28.35,25.76,,50.13,,0,1.94,0,2.86,13.02,4.4,10.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard G
Bouvard M,74.06,-40.57,-77.45,282.55,37,37030,63.69,58.29,42.85,40.45,,3.81,2.772,19.43,4958.1,1.31,17.07,,0,16.61,111.85,0.17,0.51,336.4,42.05,12.46,5.26,2.69,164.21,560.16,611.69,596.49,88.85,71.06,179.95,101.11,119.54,151.11,101.57,,148.21,,6.49,5.83,11.4,11.81,890.62,301.8,692.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard M
Bouvard N,54.79,-38.43,-76.51,283.49,27.4,27395,47.12,45.11,32.33,27.76,,3.48,2.413,15.04,2471.59,1.17,13.27,,0,11.62,57.81,0.14,0.42,269.16,33.64,9.97,4.21,2.15,105.82,406.87,444.7,355.43,65.61,52.96,128.62,70.18,82.1,102.25,73.74,,115.08,,5.03,4.51,7.92,8.48,332.19,112.6,258.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard N
Bouvard P,13.87,-38.97,-75.11,284.89,6.9,6935,11.51,11.65,0,3.21,,2.79,2.242,3.88,0,0.52,3.67,,0,0,0,0.06,0.17,277.4,34.68,10.27,4.33,2.22,19.05,44.36,48.69,15.72,16.47,13.86,27.83,17.92,20.99,26.2,13.58,,36.33,,0,1.17,0,1.47,1.81,0.6,1.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard P
Bouvard R,7.95,-35.52,-84.36,275.64,4,3975,6.6,6.68,0,1.2,,1.59,1.328,2.23,20.1,0.29,2.09,,0,0,0,0.04,0.12,159,19.88,5.89,2.48,1.27,3.66,12.28,13.5,3.02,9.41,8.05,14.97,8.76,10,12.02,6.77,,22.77,,0,0.67,0,0.72,0.21,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard R
Bouvard S,11.69,-35.58,-80.64,279.36,5.8,5845,9.7,9.82,0,2.38,,2.35,1.909,3.27,63.9,0.44,3.09,,0,0,0,0.05,0.15,233.8,29.23,8.66,3.65,1.87,11.74,30.58,33.58,9.68,13.87,11.73,23,14.38,16.71,20.62,10.96,,31.47,,0,0.98,0,1.18,0.94,0.3,0.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouvard S
Bowditch,43.04,-24.97,103.07,103.07,21.5,21520,37.01,36.75,25.8,20.54,,3.24,2.242,12.25,1415.21,1.06,10.85,,0.99,8.58,34.07,0.12,0.36,225.13,28.14,8.34,3.52,1.8,71.65,303.18,331.61,226.01,51.47,41.84,98.28,52.39,60.76,74.79,57.06,,93.98,,4.09,3.67,5.71,6.5,150.77,51.1,117.2,,,,,,,IAU1976,1976,,,,,,,,,,,,,,,,,,,,,,,,Bowditch
Bowditch M,13.65,-26.67,103.33,103.33,6.8,6825,11.33,11.47,0,3.13,,2.75,2.209,3.82,0,0.51,3.61,,0,0,0,0.06,0.17,273,34.13,10.11,4.27,2.18,18.22,42.88,47.07,15.03,16.21,13.64,27.34,17.56,20.55,25.62,13.31,,35.84,,0,1.15,0,1.44,1.7,0.6,1.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bowditch M
Bowditch N,14.12,-26.62,102.78,102.78,7.1,7060,11.72,11.86,0,3.32,,2.84,2.28,3.95,0,0.53,3.74,,0,0,0,0.06,0.17,282.4,35.3,10.46,4.41,2.26,20.01,46.07,50.55,16.51,16.77,14.1,28.39,18.34,21.5,26.86,13.88,,36.87,,0,1.19,0,1.51,1.94,0.7,1.5,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bowditch N
Bowen,8.09,17.63,9.1,9.1,4,4045,6.71,6.8,0,1.24,,1.62,1.35,2.27,21.18,0.3,2.13,0.65,0,0,0,0.04,0.12,161.8,20.23,5.99,2.53,1.29,3.87,12.83,14.1,3.19,9.58,8.19,15.26,8.96,10.23,12.32,6.92,,23.1,,0,0.68,0,0.73,0.23,0.1,0.2,,,Formerly Manilius A,,,,IAU1973,1973,,,,,,,,,,,,,,,,,,,,,,,,Bowen
Bowen-Apollo,0.3,20.27,30.87,30.87,0.2,150,0.25,0.25,0,0,,0.06,0.044,0.08,0,0.01,0.08,,0,0,0,0,0.01,6,0.75,0.22,0.09,0.05,0,0,0,0,0,0,0.39,0.13,0.13,0.12,0.11,,1.45,,0,0.03,0,0,0,0,0,,,Apollo 17,,,,IAU1973,,,,,,,,,,,,,,,,,,,,,,,,,Bowen-Apollo
Boyle,57.13,-53.29,177.89,177.89,28.6,28565,49.13,46.75,33.62,29.25,,3.53,2.444,15.58,2722.28,1.19,13.74,,0,12.23,63.35,0.14,0.43,277.62,34.7,10.28,4.34,2.22,112.82,426.61,466.22,383.06,68.43,55.16,134.75,73.83,86.49,107.95,77.09,,119.2,,5.21,4.67,8.35,8.88,380.91,129.1,296.1,Nectarian,2,,PC,,,IAU1970,1970,ol-gabbroic norite,27.7,24.9,9.3,38.1,1.6,2.7,,,,,,,,,,,,,,,,,Boyle
Boyle A,24.35,-50.99,178.14,178.14,12.2,12175,20.94,22.64,15.15,10.08,,2.73,1.886,7.55,379.66,0.84,6.74,,0.32,3.74,9.79,0.08,0.25,147.7,18.46,5.47,2.31,1.18,24.45,129.69,142.09,66.5,29.02,24,52.1,26.28,29.87,35.75,31.15,,58.26,,0,2.26,0,3.48,23.38,7.9,18.2,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Boyle A
Boyle Z,47.31,-51.49,177.67,177.67,23.7,23655,40.69,39.82,28.19,23.11,,3.33,2.308,13.27,1760.83,1.1,11.74,,1.2,9.68,41.92,0.13,0.38,241.45,30.18,8.94,3.77,1.93,83.84,341.69,373.63,271.05,56.61,45.89,109.21,58.75,68.37,84.54,63.09,,101.74,,4.44,3.98,6.52,7.21,205.48,69.6,159.7,Nectarian,2,,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Boyle Z
Brackett,8.87,17.84,23.54,23.54,4.4,4435,7.36,7.45,0,1.46,,1.78,1.472,2.48,27.91,0.33,2.33,,0,0,0,0.04,0.13,177.4,22.18,6.57,2.77,1.42,5.14,16.07,17.66,4.24,10.51,8.96,16.91,10.09,11.57,14.01,7.76,,24.96,,0,0.75,0,0.83,0.32,0.1,0.3,,,,,,,IAU1973,1973,,,,,,,,,,,,,,,,,,,,,,,,Brackett
Bradley H,4.97,22.89,-0.35,359.65,2.5,2485,4.13,4.17,0,0.53,1.29,0.99,0.854,1.39,4.91,0.18,1.3,,0,0,0,0.03,0.09,99.4,12.43,3.68,1.55,0.8,0.78,3.58,3.94,0.65,5.87,5.09,8.87,4.79,5.34,6.23,3.76,,15.35,,0,0.42,0,0.39,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bradley H
Bradley K,4.43,23.27,-0.74,359.26,2.2,2215,3.68,3.72,0,0.43,0.82,0.88,0.766,1.24,3.48,0.16,1.16,,0,0,0,0.03,0.08,88.6,11.08,3.28,1.38,0.71,0.53,2.6,2.87,0.44,5.23,4.55,7.8,4.13,4.58,5.3,3.26,,13.94,,0,0.37,0,0.34,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bradley K
Bragg,77.21,42.33,-103.44,256.56,38.6,38605,66.4,60.39,44.55,42.61,,3.86,2.784,20.13,5458.87,1.34,17.68,,0,17.43,122.53,0.18,0.53,346.93,43.37,12.85,5.42,2.78,173.83,583.27,636.85,638.33,92.65,74.01,188.5,106.34,125.91,159.49,106.16,,153.48,,6.73,6.04,11.96,12.36,1020.69,345.9,793.4,pre-Nectarian,1,,W&B09,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Bragg
Bragg H,36.61,41.47,-101.35,258.65,18.3,18305,31.48,32.02,22.18,16.78,,3.09,2.135,10.67,973.85,0.99,9.47,,0.72,6.91,23.91,0.11,0.32,199.72,24.97,7.4,3.12,1.6,54.02,243.75,266.74,163.38,43.74,35.73,82.07,43.06,49.66,60.64,48.04,,82.04,,3.57,3.2,4.46,5.44,88.79,30.1,69,Lower Imbrian,3,,GHM 2,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bragg H
Bragg M,44.32,38.87,-102.77,257.23,22.2,22160,38.12,37.67,26.52,21.3,,3.27,2.262,12.56,1514.34,1.07,11.11,,1.05,8.91,36.33,0.12,0.37,230.06,28.76,8.52,3.59,1.84,75.27,314.81,344.3,239.25,53.01,43.05,101.55,54.28,63.03,77.68,58.86,,96.32,,4.2,3.77,5.96,6.72,165.95,56.2,129,Nectarian,2,,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bragg M
Bragg P,28.95,39.75,-104.76,255.24,14.5,14475,24.9,26.23,17.81,12.52,,2.88,1.988,8.74,566.22,0.9,7.78,,0.45,4.93,14.3,0.09,0.28,167.87,20.98,6.22,2.62,1.34,34.73,172,188.36,98.81,34.54,28.41,63.18,32.41,37.06,44.73,37.44,,67.37,,2.92,2.62,2.93,4.21,41.18,14,32,Nectarian,2,,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bragg P
Brashear,60.16,-73.54,-171.57,188.43,30.1,30080,51.74,48.85,35.28,31.2,,3.58,2.715,16.28,3067.45,1.21,14.35,,0,13.01,70.95,0.15,0.45,288.44,36.05,10.68,4.51,2.31,121.93,451.71,493.57,419.61,72.09,58.02,142.74,78.6,92.25,115.42,81.44,,124.48,,5.44,4.88,8.91,9.39,451.09,152.9,350.6,,,,,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Brashear
Brashear P,68.65,-76.37,-176.32,183.68,34.3,34325,59.04,54.65,39.91,36.8,,3.73,2.751,18.22,4161.18,1.28,16.02,,0,15.21,94.73,0.16,0.49,318.04,39.75,11.78,4.97,2.54,147.69,519.23,567.13,526.03,82.32,65.99,165.36,92.23,108.75,136.96,93.7,,139.07,,6.09,5.46,10.44,10.86,694.84,235.5,540.1,pre-Nectarian,1,,W&B09,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Brashear P
Braude,11.28,-81.82,158.88,158.88,5.6,5640,9.36,9.48,0,2.23,,2.27,1.846,3.16,57.41,0.42,2.98,,0,0,0,0.049,0.148,225.6,28.2,8.36,3.53,1.8,10.58,28.22,30.99,8.73,13.38,11.32,22.1,13.74,15.94,19.62,10.48,,30.54,,0,0.95,0,1.13,0.82,0.3,0.6,,,,,,,IAU2009,17-Apr-09,,,,,,,,,,,,,,,,,,,,,,,,Braude
Brayley,14.17,20.9,-36.94,323.06,7.1,7085,11.76,11.9,0,3.34,2.84,2.85,2.288,3.97,0,0.53,3.75,,0,0,0,0.06,0.17,283.4,35.43,10.5,4.43,2.27,20.21,46.41,50.93,16.67,16.83,14.15,28.5,18.42,21.6,27,13.94,,36.98,,0,1.19,0,1.51,1.97,0.7,1.5,Eratosthenian ,5,Rim flooded,GHM 1,,,VL1645  NLF,1935,,,,,,,,,,,,,,,,,,,,,,,,Brayley
Brayley B,9.23,20.73,-34.31,325.69,4.6,4615,7.66,7.75,0,1.57,1.87,1.85,1.529,2.58,31.45,0.34,2.43,,0,0,0,0.04,0.13,184.6,23.08,6.84,2.88,1.48,5.81,17.69,19.44,4.8,10.94,9.31,17.68,10.62,12.2,14.81,8.16,,25.81,,0,0.78,0,0.87,0.38,0.1,0.3,,,,,,,VL1645  NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley B
Brayley C,7.99,21.39,-39.46,320.54,4,3995,6.63,6.71,0,1.21,1.66,1.6,1.335,2.24,20.4,0.3,2.1,,0,0,0,0.04,0.12,159.8,19.98,5.92,2.5,1.28,3.72,12.44,13.67,3.07,9.46,8.09,15.05,8.82,10.06,12.1,6.81,,22.86,,0,0.67,0,0.72,0.22,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley C
Brayley D,6.18,20.02,-32.88,327.12,3.1,3090,5.13,5.19,0,0.77,1.15,1.23,1.048,1.73,9.44,0.23,1.62,,0,0,0,0.03,0.1,123.6,15.45,4.58,1.93,0.99,1.63,6.44,7.08,1.34,7.3,6.29,11.3,6.34,7.14,8.45,4.94,,18.43,,0,0.52,0,0.52,0.08,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley D
Brayley E,4.67,21.27,-39.82,320.18,2.3,2335,3.88,3.92,0,0.47,0.93,0.93,0.805,1.31,4.07,0.17,1.22,,0,0,0,0.03,0.08,93.4,11.68,3.46,1.46,0.75,0.63,3.02,3.32,0.52,5.51,4.79,8.27,4.42,4.92,5.71,3.48,,14.57,,0,0.39,0,0.36,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley E
Brayley F,4.55,21.09,-34.1,325.9,2.3,2275,3.78,3.82,0,0.45,0.84,0.91,0.786,1.27,3.77,0.17,1.19,,0,0,0,0.03,0.08,91,11.38,3.37,1.42,0.73,0.58,2.81,3.09,0.48,5.37,4.67,8.04,4.28,4.75,5.5,3.37,,14.25,,0,0.38,0,0.35,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley F
Brayley G,4.34,24.17,-36.44,323.56,2.2,2170,3.6,3.65,0,0.41,,0.86,0.751,1.22,3.27,0.16,1.13,,0,0,0,0.03,0.08,86.8,10.85,3.21,1.36,0.69,0.49,2.46,2.71,0.41,5.12,4.46,7.62,4.02,4.46,5.15,3.18,,13.7,,0,0.36,0,0.33,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley G
Brayley K,3.23,21.21,-41.72,318.28,1.6,1615,2.68,2.71,0,0.25,0.6,0.64,0.569,0.9,1.35,0.12,0.84,,0,0,0,0.02,0.06,64.6,8.08,2.39,1.01,0.52,0.17,1.05,1.16,0.14,3.8,3.34,5.49,2.75,3.01,3.41,2.2,,10.69,,0,0.27,0,0.22,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley K
Brayley L,3.48,20.91,-42.65,317.35,1.7,1740,2.89,2.92,0,0.28,0.62,0.69,0.61,0.97,1.69,0.13,0.91,,0,0,0,0.02,0.07,69.6,8.7,2.58,1.09,0.56,0.23,1.31,1.44,0.19,4.1,3.59,5.96,3.03,3.32,3.78,2.41,,11.38,,0,0.29,0,0.25,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley L
Brayley S,2.89,25.06,-36.76,323.24,1.4,1445,2.4,2.43,0,0.2,0.64,0.57,0.513,0.81,0.97,0.11,0.75,,0,0,0,0.02,0.06,57.8,7.23,2.14,0.9,0.46,0.12,0.76,0.84,0.1,3.4,3,4.85,2.39,2.59,2.92,1.91,,9.74,,0,0.24,0,0.19,0,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Brayley S
Bredikhin,61.68,17.25,-158.37,201.63,30.8,30840,53.04,49.89,36.11,32.19,,3.61,2.722,16.63,3249.45,1.22,14.65,,0,13.41,74.93,0.15,0.45,293.81,36.73,10.88,4.59,2.35,126.52,464.1,507.08,438.24,73.92,59.45,146.77,81.01,95.16,119.22,83.63,,127.11,,5.56,4.99,9.19,9.66,489.47,165.9,380.5,Nectarian,2,Older than Korolev Basin ,PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Bredikhin
Bredikhin B,19.31,18.87,-157.24,202.76,9.7,9655,16.61,18.59,12.2,5.76,,2.55,1.757,6.2,222.19,0.77,5.55,,0.2,2.43,5.89,0.07,0.21,124.41,15.55,4.61,1.94,1,14.75,85.78,94.05,37.77,22.98,19.14,40.23,19.84,22.37,26.47,24.35,,47.96,,0,1.86,0,2.7,10.94,3.7,8.5,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bredikhin B
Breislak,48.64,-48.31,18.31,18.31,24.3,24320,41.83,40.77,28.93,23.93,,3.36,2.327,13.59,1877.29,1.11,12.01,,1.26,10.03,44.54,0.13,0.39,246.46,30.81,9.13,3.85,1.97,87.7,353.5,386.51,285.58,58.21,47.15,112.64,60.76,70.77,87.63,64.98,,104.14,,4.54,4.08,6.78,7.44,224.99,76.2,174.9,,,,,,,VL1645  S1878,1935,,,,,,,,,,,,,,,,,,,,,,,,Breislak
